current_path,current_directory,filename,title,framework,content_type,word_count,new_location,category,reason
documentation-implementation-plan.md,.,documentation-implementation-plan.md,Windows Development Documentation Implementation Plan,windows-app-sdk,tutorial,2039,modern-windows-apps/windows-app-sdk/,modern-windows-app-sdk,Modern Windows development content
README-documentation-restructure.md,.,README-documentation-restructure.md,Windows Development Documentation Restructure Project,unknown,guide,879,platform-features/,platform-features,General Windows platform features (needs manual review)
documentation-analysis-goals.md,.,documentation-analysis-goals.md,Windows Development Documentation Analysis Goals,unknown,guide,595,platform-features/,platform-features,General Windows platform features (needs manual review)
documentation-structure-vision.md,.,documentation-structure-vision.md,Windows Development Documentation Structure Vision,unknown,tutorial,1002,platform-features/,platform-features,General Windows platform features (needs manual review)
README.md,.,README.md,,unknown,guide,309,platform-features/,platform-features,General Windows platform features (needs manual review)
CONTRIBUTING.md,.,CONTRIBUTING.md,Contributing to this documentation,unknown,guide,90,platform-features/,platform-features,General Windows platform features (needs manual review)
SECURITY.md,.,SECURITY.md,,unknown,guide,334,platform-features/,platform-features,General Windows platform features (needs manual review)
uwp/monetize/get-details-for-an-error-in-your-desktop-application.md,uwp/monetize,get-details-for-an-error-in-your-desktop-application.md,Get details for an error in your desktop application,uwp,guide,1445,legacy-frameworks/uwp/monetize/,legacy-uwp,UWP content preserved in legacy section
uwp/monetize/in-app-purchases-and-trials-using-the-windows-applicationmodel-store-namespace.md,uwp/monetize,in-app-purchases-and-trials-using-the-windows-applicationmodel-store-namespace.md,In-app purchases and trials using the Windows.ApplicationModel.Store namespace,uwp,guide,3953,legacy-frameworks/uwp/monetize/,legacy-uwp,UWP content preserved in legacy section
uwp/monetize/microsoft-store-services-sdk.md,uwp/monetize,microsoft-store-services-sdk.md,Engage customers with the Microsoft Store Services SDK,uwp,guide,1359,legacy-frameworks/uwp/monetize/,legacy-uwp,UWP content preserved in legacy section
uwp/monetize/in-app-purchases-and-trials.md,uwp/monetize,in-app-purchases-and-trials.md,In-app purchases and trials,uwp,guide,4416,legacy-frameworks/uwp/monetize/,legacy-uwp,UWP content preserved in legacy section
uwp/monetize/manage-add-ons.md,uwp/monetize,manage-add-ons.md,Manage add-ons,uwp,guide,705,legacy-frameworks/uwp/monetize/,legacy-uwp,UWP content preserved in legacy section
uwp/monetize/get-insights-data-for-your-desktop-app.md,uwp/monetize,get-insights-data-for-your-desktop-app.md,Get insights data for your desktop application,uwp,guide,969,legacy-frameworks/uwp/monetize/,legacy-uwp,UWP content preserved in legacy section
uwp/monetize/get-app-data.md,uwp/monetize,get-app-data.md,Get app data,uwp,guide,864,legacy-frameworks/uwp/monetize/,legacy-uwp,UWP content preserved in legacy section
uwp/monetize/manage-targeting-profiles-for-ad-campaigns.md,uwp/monetize,manage-targeting-profiles-for-ad-campaigns.md,Manage targeting profiles,uwp,guide,2679,legacy-frameworks/uwp/monetize/,legacy-uwp,UWP content preserved in legacy section
uwp/monetize/get-an-add-on-submission.md,uwp/monetize,get-an-add-on-submission.md,Get an add-on submission,uwp,guide,677,legacy-frameworks/uwp/monetize/,legacy-uwp,UWP content preserved in legacy section
uwp/monetize/change-the-billing-state-of-a-subscription-for-a-user.md,uwp/monetize,change-the-billing-state-of-a-subscription-for-a-user.md,Change the billing state of a subscription for a user,uwp,guide,1279,legacy-frameworks/uwp/monetize/,legacy-uwp,UWP content preserved in legacy section
uwp/monetize/halt-the-package-rollout-for-a-flight-submission.md,uwp/monetize,halt-the-package-rollout-for-a-flight-submission.md,Halt the rollout for a flight,uwp,guide,720,legacy-frameworks/uwp/monetize/,legacy-uwp,UWP content preserved in legacy section
uwp/monetize/get-acquisition-funnel-data.md,uwp/monetize,get-acquisition-funnel-data.md,Get app acquisition funnel data,uwp,guide,839,legacy-frameworks/uwp/monetize/,legacy-uwp,UWP content preserved in legacy section
uwp/monetize/log-custom-events-for-dev-center.md,uwp/monetize,log-custom-events-for-dev-center.md,Log custom events for Partner Center,uwp,guide,399,legacy-frameworks/uwp/monetize/,legacy-uwp,UWP content preserved in legacy section
uwp/monetize/get-all-apps.md,uwp/monetize,get-all-apps.md,Get all apps,uwp,guide,904,legacy-frameworks/uwp/monetize/,legacy-uwp,UWP content preserved in legacy section
uwp/monetize/finalize-the-package-rollout-for-an-app-submission.md,uwp/monetize,finalize-the-package-rollout-for-an-app-submission.md,Finalize the rollout for an app submission,uwp,guide,617,legacy-frameworks/uwp/monetize/,legacy-uwp,UWP content preserved in legacy section
uwp/monetize/create-a-flight-submission.md,uwp/monetize,create-a-flight-submission.md,Create a package flight submission,uwp,guide,717,legacy-frameworks/uwp/monetize/,legacy-uwp,UWP content preserved in legacy section
uwp/monetize/get-the-stack-trace-for-an-error-in-your-app.md,uwp/monetize,get-the-stack-trace-for-an-error-in-your-app.md,Get the stack trace for an error in your app,uwp,guide,906,legacy-frameworks/uwp/monetize/,legacy-uwp,UWP content preserved in legacy section
uwp/monetize/manage-targeted-offers-using-windows-store-services.md,uwp/monetize,manage-targeted-offers-using-windows-store-services.md,Manage targeted offers using Store services,uwp,guide,616,legacy-frameworks/uwp/monetize/,legacy-uwp,UWP content preserved in legacy section
uwp/monetize/get-an-add-on.md,uwp/monetize,get-an-add-on.md,Get an add-on,uwp,guide,453,legacy-frameworks/uwp/monetize/,legacy-uwp,UWP content preserved in legacy section
uwp/monetize/java-code-examples-for-submissions-game-options-and-trailers.md,uwp/monetize,java-code-examples-for-submissions-game-options-and-trailers.md,Java sample - app submission with game options and trailers,uwp,guide,381,legacy-frameworks/uwp/monetize/,legacy-uwp,UWP content preserved in legacy section
uwp/monetize/exclude-or-limit-features-in-a-trial-version-of-your-app.md,uwp/monetize,exclude-or-limit-features-in-a-trial-version-of-your-app.md,Exclude or limit features in a trial version,uwp,guide,1326,legacy-frameworks/uwp/monetize/,legacy-uwp,UWP content preserved in legacy section
uwp/monetize/renew-a-windows-store-id-key.md,uwp/monetize,renew-a-windows-store-id-key.md,Renew a Microsoft Store ID key,uwp,guide,633,legacy-frameworks/uwp/monetize/,legacy-uwp,UWP content preserved in legacy section
uwp/monetize/report-consumable-products-as-fulfilled.md,uwp/monetize,report-consumable-products-as-fulfilled.md,Report consumable products as fulfilled,uwp,guide,933,legacy-frameworks/uwp/monetize/,legacy-uwp,UWP content preserved in legacy section
uwp/monetize/csharp-code-examples-for-the-windows-store-submission-api.md,uwp/monetize,csharp-code-examples-for-the-windows-store-submission-api.md,"C# sample - submissions for apps, add-ons, and flights",uwp,reference,1101,legacy-frameworks/uwp/monetize/,legacy-uwp,UWP content preserved in legacy section
uwp/monetize/get-an-app.md,uwp/monetize,get-an-app.md,Get an app,uwp,guide,444,legacy-frameworks/uwp/monetize/,legacy-uwp,UWP content preserved in legacy section
uwp/monetize/delete-an-add-on-submission.md,uwp/monetize,delete-an-add-on-submission.md,Delete an add-on submission,uwp,guide,471,legacy-frameworks/uwp/monetize/,legacy-uwp,UWP content preserved in legacy section
uwp/monetize/enable-in-app-product-purchases.md,uwp/monetize,enable-in-app-product-purchases.md,Enable in-app product purchases,uwp,guide,1086,legacy-frameworks/uwp/monetize/,legacy-uwp,UWP content preserved in legacy section
uwp/monetize/update-the-package-rollout-percentage-for-an-app-submission.md,uwp/monetize,update-the-package-rollout-percentage-for-an-app-submission.md,Update the rollout percentage for an app submission,uwp,guide,638,legacy-frameworks/uwp/monetize/,legacy-uwp,UWP content preserved in legacy section
uwp/monetize/halt-the-package-rollout-for-an-app-submission.md,uwp/monetize,halt-the-package-rollout-for-an-app-submission.md,Halt the rollout for an app submission,uwp,guide,642,legacy-frameworks/uwp/monetize/,legacy-uwp,UWP content preserved in legacy section
uwp/monetize/get-add-ons-for-an-app.md,uwp/monetize,get-add-ons-for-an-app.md,Get add-ons for an app,uwp,guide,773,legacy-frameworks/uwp/monetize/,legacy-uwp,UWP content preserved in legacy section
uwp/monetize/python-code-examples-for-submissions-game-options-and-trailers.md,uwp/monetize,python-code-examples-for-submissions-game-options-and-trailers.md,Python sample - app submission with game options and trailers,uwp,guide,402,legacy-frameworks/uwp/monetize/,legacy-uwp,UWP content preserved in legacy section
uwp/monetize/delete-a-flight-submission.md,uwp/monetize,delete-a-flight-submission.md,Delete a package flight submission,uwp,guide,554,legacy-frameworks/uwp/monetize/,legacy-uwp,UWP content preserved in legacy section
uwp/monetize/enable-consumable-in-app-product-purchases.md,uwp/monetize,enable-consumable-in-app-product-purchases.md,Enable consumable in-app product purchases,uwp,guide,913,legacy-frameworks/uwp/monetize/,legacy-uwp,UWP content preserved in legacy section
uwp/monetize/error-codes-for-store-operations.md,uwp/monetize,error-codes-for-store-operations.md,Error codes for Store operations,uwp,guide,890,legacy-frameworks/uwp/monetize/,legacy-uwp,UWP content preserved in legacy section
uwp/monetize/get-product-info-for-apps-and-add-ons.md,uwp/monetize,get-product-info-for-apps-and-add-ons.md,Get product info for apps and add-ons,uwp,guide,929,legacy-frameworks/uwp/monetize/,legacy-uwp,UWP content preserved in legacy section
uwp/monetize/get-error-reporting-data.md,uwp/monetize,get-error-reporting-data.md,Get error reporting data for your app,uwp,guide,1735,legacy-frameworks/uwp/monetize/,legacy-uwp,UWP content preserved in legacy section
uwp/monetize/delete-an-add-on.md,uwp/monetize,delete-an-add-on.md,Delete an add-on,uwp,guide,411,legacy-frameworks/uwp/monetize/,legacy-uwp,UWP content preserved in legacy section
uwp/monetize/manage-add-on-submissions.md,uwp/monetize,manage-add-on-submissions.md,Manage add-on submissions,uwp,guide,3048,legacy-frameworks/uwp/monetize/,legacy-uwp,UWP content preserved in legacy section
uwp/monetize/launch-feedback-hub-from-your-app.md,uwp/monetize,launch-feedback-hub-from-your-app.md,Launch Feedback Hub from your app,uwp,guide,922,legacy-frameworks/uwp/monetize/,legacy-uwp,UWP content preserved in legacy section
uwp/monetize/get-status-for-a-flight-submission.md,uwp/monetize,get-status-for-a-flight-submission.md,Get the status of a package flight submission,uwp,guide,705,legacy-frameworks/uwp/monetize/,legacy-uwp,UWP content preserved in legacy section
uwp/monetize/get-app-conversions-by-channel.md,uwp/monetize,get-app-conversions-by-channel.md,Get app conversions by channel,uwp,guide,1352,legacy-frameworks/uwp/monetize/,legacy-uwp,UWP content preserved in legacy section
uwp/monetize/run-app-experiments-with-a-b-testing.md,uwp/monetize,run-app-experiments-with-a-b-testing.md,Run app experiments with A/B testing,uwp,guide,1056,legacy-frameworks/uwp/monetize/,legacy-uwp,UWP content preserved in legacy section
uwp/monetize/enable-in-app-purchases-of-apps-and-add-ons.md,uwp/monetize,enable-in-app-purchases-of-apps-and-add-ons.md,Enable in-app purchases of apps and add-ons,uwp,guide,617,legacy-frameworks/uwp/monetize/,legacy-uwp,UWP content preserved in legacy section
uwp/monetize/delete-a-flight.md,uwp/monetize,delete-a-flight.md,Delete a package flight,uwp,guide,478,legacy-frameworks/uwp/monetize/,legacy-uwp,UWP content preserved in legacy section
uwp/monetize/submit-responses-to-app-reviews.md,uwp/monetize,submit-responses-to-app-reviews.md,Submit responses to reviews,uwp,guide,1049,legacy-frameworks/uwp/monetize/,legacy-uwp,UWP content preserved in legacy section
uwp/monetize/update-a-flight-submission.md,uwp/monetize,update-a-flight-submission.md,Update a package flight submission,uwp,guide,975,legacy-frameworks/uwp/monetize/,legacy-uwp,UWP content preserved in legacy section
uwp/monetize/configure-your-app-to-receive-dev-center-notifications.md,uwp/monetize,configure-your-app-to-receive-dev-center-notifications.md,Configure your app for targeted push notifications,uwp,guide,1404,legacy-frameworks/uwp/monetize/,legacy-uwp,UWP content preserved in legacy section
uwp/monetize/get-ad-performance-data.md,uwp/monetize,get-ad-performance-data.md,Get ad performance data,uwp,guide,1401,legacy-frameworks/uwp/monetize/,legacy-uwp,UWP content preserved in legacy section
uwp/monetize/view-and-grant-products-from-a-service.md,uwp/monetize,view-and-grant-products-from-a-service.md,Manage product entitlements from a service,uwp,guide,2586,legacy-frameworks/uwp/monetize/,legacy-uwp,UWP content preserved in legacy section
uwp/monetize/java-code-examples-for-the-windows-store-submission-api.md,uwp/monetize,java-code-examples-for-the-windows-store-submission-api.md,"Java sample - submissions for apps, add-ons, and flights",uwp,reference,958,legacy-frameworks/uwp/monetize/,legacy-uwp,UWP content preserved in legacy section
uwp/monetize/code-your-experiment-in-your-app.md,uwp/monetize,code-your-experiment-in-your-app.md,Code your app for experimentation,uwp,guide,1285,legacy-frameworks/uwp/monetize/,legacy-uwp,UWP content preserved in legacy section
uwp/monetize/download-the-cab-file-for-an-error-in-your-app.md,uwp/monetize,download-the-cab-file-for-an-error-in-your-app.md,Download the CAB file for an error in your app,uwp,guide,560,legacy-frameworks/uwp/monetize/,legacy-uwp,UWP content preserved in legacy section
uwp/monetize/use-receipts-to-verify-product-purchases.md,uwp/monetize,use-receipts-to-verify-product-purchases.md,Use receipts to verify product purchases,uwp,guide,923,legacy-frameworks/uwp/monetize/,legacy-uwp,UWP content preserved in legacy section
uwp/monetize/create-and-manage-submissions-using-windows-store-services.md,uwp/monetize,create-and-manage-submissions-using-windows-store-services.md,Create and manage submissions,uwp,guide,2011,legacy-frameworks/uwp/monetize/,legacy-uwp,UWP content preserved in legacy section
uwp/monetize/get-desktop-application-error-reporting-data.md,uwp/monetize,get-desktop-application-error-reporting-data.md,Get error reporting data for your desktop application,uwp,guide,1447,legacy-frameworks/uwp/monetize/,legacy-uwp,UWP content preserved in legacy section
uwp/monetize/get-app-reviews.md,uwp/monetize,get-app-reviews.md,Get app reviews,uwp,guide,1726,legacy-frameworks/uwp/monetize/,legacy-uwp,UWP content preserved in legacy section
uwp/monetize/add-on-acquisitions-data.md,uwp/monetize,add-on-acquisitions-data.md,Get add-on acquisitions data for your games and apps,uwp,guide,1640,legacy-frameworks/uwp/monetize/,legacy-uwp,UWP content preserved in legacy section
uwp/monetize/create-a-flight.md,uwp/monetize,create-a-flight.md,Create a package flight,uwp,guide,724,legacy-frameworks/uwp/monetize/,legacy-uwp,UWP content preserved in legacy section
uwp/monetize/grant-free-products.md,uwp/monetize,grant-free-products.md,Grant free products,uwp,guide,1722,legacy-frameworks/uwp/monetize/,legacy-uwp,UWP content preserved in legacy section
uwp/monetize/get-status-for-an-add-on-submission.md,uwp/monetize,get-status-for-an-add-on-submission.md,Get the status of an add-on submission,uwp,guide,620,legacy-frameworks/uwp/monetize/,legacy-uwp,UWP content preserved in legacy section
uwp/monetize/get-in-app-acquisitions.md,uwp/monetize,get-in-app-acquisitions.md,Get add-on acquisitions,uwp,guide,1661,legacy-frameworks/uwp/monetize/,legacy-uwp,UWP content preserved in legacy section
uwp/monetize/get-license-info-for-apps-and-add-ons.md,uwp/monetize,get-license-info-for-apps-and-add-ons.md,Get license info for your app and add-ons,uwp,guide,560,legacy-frameworks/uwp/monetize/,legacy-uwp,UWP content preserved in legacy section
uwp/monetize/respond-to-reviews-using-windows-store-services.md,uwp/monetize,respond-to-reviews-using-windows-store-services.md,Respond to reviews using Store services,uwp,guide,1004,legacy-frameworks/uwp/monetize/,legacy-uwp,UWP content preserved in legacy section
uwp/monetize/get-ad-campaign-performance-data.md,uwp/monetize,get-ad-campaign-performance-data.md,Get ad campaign performance data,uwp,guide,1220,legacy-frameworks/uwp/monetize/,legacy-uwp,UWP content preserved in legacy section
uwp/monetize/update-the-package-rollout-percentage-for-a-flight-submission.md,uwp/monetize,update-the-package-rollout-percentage-for-a-flight-submission.md,Update the rollout percentage for a flight submission,uwp,guide,721,legacy-frameworks/uwp/monetize/,legacy-uwp,UWP content preserved in legacy section
uwp/monetize/commit-an-app-submission.md,uwp/monetize,commit-an-app-submission.md,Commit an app submission,uwp,guide,630,legacy-frameworks/uwp/monetize/,legacy-uwp,UWP content preserved in legacy section
uwp/monetize/manage-creatives-for-ad-campaigns.md,uwp/monetize,manage-creatives-for-ad-campaigns.md,Manage creatives,uwp,guide,925,legacy-frameworks/uwp/monetize/,legacy-uwp,UWP content preserved in legacy section
uwp/monetize/update-an-app-submission.md,uwp/monetize,update-an-app-submission.md,Update an app submission,uwp,guide,1427,legacy-frameworks/uwp/monetize/,legacy-uwp,UWP content preserved in legacy section
uwp/monetize/get-response-info-for-app-reviews.md,uwp/monetize,get-response-info-for-app-reviews.md,Get response info for reviews,uwp,guide,652,legacy-frameworks/uwp/monetize/,legacy-uwp,UWP content preserved in legacy section
uwp/monetize/get-app-usage-daily.md,uwp/monetize,get-app-usage-daily.md,Get daily app usage,uwp,guide,1798,legacy-frameworks/uwp/monetize/,legacy-uwp,UWP content preserved in legacy section
uwp/monetize/create-an-app-submission.md,uwp/monetize,create-an-app-submission.md,Create an app submission,uwp,guide,734,legacy-frameworks/uwp/monetize/,legacy-uwp,UWP content preserved in legacy section
uwp/monetize/python-code-examples-for-the-windows-store-submission-api.md,uwp/monetize,python-code-examples-for-the-windows-store-submission-api.md,"Python code to submit apps, add-ons, and flights",uwp,reference,758,legacy-frameworks/uwp/monetize/,legacy-uwp,UWP content preserved in legacy section
uwp/monetize/enable-consumable-add-on-purchases.md,uwp/monetize,enable-consumable-add-on-purchases.md,Enable consumable add-on purchases,uwp,guide,1045,legacy-frameworks/uwp/monetize/,legacy-uwp,UWP content preserved in legacy section
uwp/monetize/retail-demo-experience.md,uwp/monetize,retail-demo-experience.md,Add retail demo (RDX) features to your app,uwp,guide,1930,legacy-frameworks/uwp/monetize/,legacy-uwp,UWP content preserved in legacy section
uwp/monetize/manage-a-large-catalog-of-in-app-products.md,uwp/monetize,manage-a-large-catalog-of-in-app-products.md,Manage a large catalog of in-app products,uwp,guide,823,legacy-frameworks/uwp/monetize/,legacy-uwp,UWP content preserved in legacy section
uwp/monetize/download-the-cab-file-for-an-error-in-your-desktop-application.md,uwp/monetize,download-the-cab-file-for-an-error-in-your-desktop-application.md,Download the CAB file for an error in your desktop application,uwp,guide,594,legacy-frameworks/uwp/monetize/,legacy-uwp,UWP content preserved in legacy section
uwp/monetize/index.md,uwp/monetize,index.md,"Monetization, engagement, and Store services",uwp,overview,760,legacy-frameworks/uwp/monetize/,legacy-uwp,UWP content preserved in legacy section
uwp/monetize/get-desktop-block-data-details.md,uwp/monetize,get-desktop-block-data-details.md,Get upgrade block details for your app,uwp,guide,1297,legacy-frameworks/uwp/monetize/,legacy-uwp,UWP content preserved in legacy section
uwp/monetize/update-an-add-on-submission.md,uwp/monetize,update-an-add-on-submission.md,Update an add-on submission,uwp,guide,986,legacy-frameworks/uwp/monetize/,legacy-uwp,UWP content preserved in legacy section
uwp/monetize/get-app-installs.md,uwp/monetize,get-app-installs.md,Get app installs,uwp,guide,1308,legacy-frameworks/uwp/monetize/,legacy-uwp,UWP content preserved in legacy section
uwp/monetize/get-package-rollout-info-for-an-app-submission.md,uwp/monetize,get-package-rollout-info-for-an-app-submission.md,Get rollout info for an app submission,uwp,guide,593,legacy-frameworks/uwp/monetize/,legacy-uwp,UWP content preserved in legacy section
uwp/monetize/manage-flights.md,uwp/monetize,manage-flights.md,Manage package flights,uwp,guide,225,legacy-frameworks/uwp/monetize/,legacy-uwp,UWP content preserved in legacy section
uwp/monetize/implement-a-trial-version-of-your-app.md,uwp/monetize,implement-a-trial-version-of-your-app.md,Implement a trial version of your app,uwp,guide,1103,legacy-frameworks/uwp/monetize/,legacy-uwp,UWP content preserved in legacy section
uwp/monetize/get-details-for-an-error-in-your-app.md,uwp/monetize,get-details-for-an-error-in-your-app.md,Get details for an error in your app,uwp,guide,1687,legacy-frameworks/uwp/monetize/,legacy-uwp,UWP content preserved in legacy section
uwp/monetize/run-ad-campaigns-using-windows-store-services.md,uwp/monetize,run-ad-campaigns-using-windows-store-services.md,Run ad campaigns using Store services,uwp,guide,1550,legacy-frameworks/uwp/monetize/,legacy-uwp,UWP content preserved in legacy section
uwp/monetize/request-ratings-and-reviews.md,uwp/monetize,request-ratings-and-reviews.md,Request ratings and reviews for your app,uwp,guide,903,legacy-frameworks/uwp/monetize/,legacy-uwp,UWP content preserved in legacy section
uwp/monetize/get-app-acquisitions.md,uwp/monetize,get-app-acquisitions.md,Get app acquisitions,uwp,guide,1348,legacy-frameworks/uwp/monetize/,legacy-uwp,UWP content preserved in legacy section
uwp/monetize/data-schemas-for-store-products.md,uwp/monetize,data-schemas-for-store-products.md,Data schemas for Store products,uwp,guide,438,legacy-frameworks/uwp/monetize/,legacy-uwp,UWP content preserved in legacy section
uwp/monetize/manage-app-submissions.md,uwp/monetize,manage-app-submissions.md,Manage app submissions,uwp,guide,6308,legacy-frameworks/uwp/monetize/,legacy-uwp,UWP content preserved in legacy section
uwp/monetize/csharp-code-examples-for-submissions-game-options-and-trailers.md,uwp/monetize,csharp-code-examples-for-submissions-game-options-and-trailers.md,C# sample - app submission with game options and trailers,uwp,guide,469,legacy-frameworks/uwp/monetize/,legacy-uwp,UWP content preserved in legacy section
uwp/monetize/get-a-flight.md,uwp/monetize,get-a-flight.md,Get a package flight,uwp,guide,780,legacy-frameworks/uwp/monetize/,legacy-uwp,UWP content preserved in legacy section
uwp/monetize/commit-an-add-on-submission.md,uwp/monetize,commit-an-add-on-submission.md,Commit an add-on submission,uwp,guide,652,legacy-frameworks/uwp/monetize/,legacy-uwp,UWP content preserved in legacy section
